n_id_kabko,d_date,n_pm10,n_pm2_5
1,2023-11-04T00:00,122.0,84.5
1,2023-11-04T01:00,102.0,70.1
1,2023-11-04T02:00,68.7,46.8
1,2023-11-04T03:00,55.5,37.5
1,2023-11-04T04:00,51.6,34.8
1,2023-11-04T05:00,50.8,34.2
1,2023-11-04T06:00,49.6,33.4
1,2023-11-04T07:00,50.2,34.0
1,2023-11-04T08:00,50.8,34.3
1,2023-11-04T09:00,42.8,29.0
1,2023-11-04T10:00,50.9,34.8
1,2023-11-04T11:00,64.7,44.6
1,2023-11-04T12:00,79.9,55.4
1,2023-11-04T13:00,93.6,65.0
1,2023-11-04T14:00,103.8,72.2
1,2023-11-04T15:00,109.2,75.9
1,2023-11-04T16:00,107.6,74.7
1,2023-11-04T17:00,98.7,68.7
1,2023-11-04T18:00,87.3,60.8
1,2023-11-04T19:00,77.8,54.1
1,2023-11-04T20:00,69.4,48.2
1,2023-11-04T21:00,50.3,34.9
1,2023-11-04T22:00,46.6,32.4
1,2023-11-04T23:00,48.1,33.4
2,2023-11-04T00:00,13.4,8.6
2,2023-11-04T01:00,12.7,8.1
2,2023-11-04T02:00,12.3,7.8
2,2023-11-04T03:00,11.5,7.3
2,2023-11-04T04:00,10.7,6.8
2,2023-11-04T05:00,10.3,6.5
2,2023-11-04T06:00,10.3,6.5
2,2023-11-04T07:00,9.6,6.1
2,2023-11-04T08:00,9.1,5.7
2,2023-11-04T09:00,9.2,5.8
2,2023-11-04T10:00,9.4,6.0
2,2023-11-04T11:00,9.6,6.1
2,2023-11-04T12:00,9.1,5.9
2,2023-11-04T13:00,8.8,5.7
2,2023-11-04T14:00,8.7,5.6
2,2023-11-04T15:00,8.8,5.7
2,2023-11-04T16:00,8.7,5.6
2,2023-11-04T17:00,8.6,5.6
2,2023-11-04T18:00,8.5,5.5
2,2023-11-04T19:00,8.4,5.5
2,2023-11-04T20:00,8.4,5.5
2,2023-11-04T21:00,8.3,5.5
2,2023-11-04T22:00,8.2,5.4
2,2023-11-04T23:00,8.0,5.2
3,2023-11-04T00:00,25.4,17.2
3,2023-11-04T01:00,27.9,18.7
3,2023-11-04T02:00,28.3,19.0
3,2023-11-04T03:00,29.7,20.0
3,2023-11-04T04:00,35.7,24.3
3,2023-11-04T05:00,42.0,28.8
3,2023-11-04T06:00,46.4,31.9
3,2023-11-04T07:00,48.4,33.2
3,2023-11-04T08:00,53.8,37.0
3,2023-11-04T09:00,57.4,39.5
3,2023-11-04T10:00,59.0,40.7
3,2023-11-04T11:00,66.6,46.1
3,2023-11-04T12:00,75.9,52.9
3,2023-11-04T13:00,82.4,57.3
3,2023-11-04T14:00,85.2,59.3
3,2023-11-04T15:00,85.9,59.6
3,2023-11-04T16:00,83.1,57.7
3,2023-11-04T17:00,74.5,51.6
3,2023-11-04T18:00,72.9,50.5
3,2023-11-04T19:00,68.9,47.7
3,2023-11-04T20:00,64.7,44.8
3,2023-11-04T21:00,61.5,42.6
3,2023-11-04T22:00,63.6,44.0
3,2023-11-04T23:00,68.2,47.1
4,2023-11-04T00:00,73.1,51.1
4,2023-11-04T01:00,67.3,46.9
4,2023-11-04T02:00,60.3,42.0
4,2023-11-04T03:00,61.9,43.1
4,2023-11-04T04:00,74.5,51.7
4,2023-11-04T05:00,81.5,56.5
4,2023-11-04T06:00,76.6,53.1
4,2023-11-04T07:00,79.4,54.8
4,2023-11-04T08:00,78.0,53.9
4,2023-11-04T09:00,80.3,55.5
4,2023-11-04T10:00,88.9,61.7
4,2023-11-04T11:00,113.9,79.2
4,2023-11-04T12:00,129.9,90.3
4,2023-11-04T13:00,137.8,96.2
4,2023-11-04T14:00,143.0,99.7
4,2023-11-04T15:00,153.2,107.1
4,2023-11-04T16:00,160.2,111.8
4,2023-11-04T17:00,156.5,109.4
4,2023-11-04T18:00,150.4,105.2
4,2023-11-04T19:00,141.1,98.7
4,2023-11-04T20:00,128.5,90.1
4,2023-11-04T21:00,109.7,76.6
4,2023-11-04T22:00,101.7,71.2
4,2023-11-04T23:00,112.0,78.5
5,2023-11-04T00:00,33.5,23.2
5,2023-11-04T01:00,33.1,22.5
5,2023-11-04T02:00,29.0,19.3
5,2023-11-04T03:00,28.2,18.7
5,2023-11-04T04:00,28.4,19.0
5,2023-11-04T05:00,28.1,18.7
5,2023-11-04T06:00,32.0,21.4
5,2023-11-04T07:00,34.8,23.3
5,2023-11-04T08:00,32.6,21.9
5,2023-11-04T09:00,33.9,22.7
5,2023-11-04T10:00,33.6,22.6
5,2023-11-04T11:00,33.2,22.6
5,2023-11-04T12:00,33.5,23.1
5,2023-11-04T13:00,33.6,23.4
5,2023-11-04T14:00,33.8,23.5
5,2023-11-04T15:00,34.0,23.7
5,2023-11-04T16:00,31.8,22.1
5,2023-11-04T17:00,29.3,20.4
5,2023-11-04T18:00,27.2,18.9
5,2023-11-04T19:00,25.8,17.8
5,2023-11-04T20:00,24.9,17.2
5,2023-11-04T21:00,24.6,16.9
5,2023-11-04T22:00,24.7,17.0
5,2023-11-04T23:00,27.4,18.9
6,2023-11-04T00:00,33.5,23.2
6,2023-11-04T01:00,33.1,22.5
6,2023-11-04T02:00,29.0,19.3
6,2023-11-04T03:00,28.2,18.7
6,2023-11-04T04:00,28.4,19.0
6,2023-11-04T05:00,28.1,18.7
6,2023-11-04T06:00,32.0,21.4
6,2023-11-04T07:00,34.8,23.3
6,2023-11-04T08:00,32.6,21.9
6,2023-11-04T09:00,33.9,22.7
6,2023-11-04T10:00,33.6,22.6
6,2023-11-04T11:00,33.2,22.6
6,2023-11-04T12:00,33.5,23.1
6,2023-11-04T13:00,33.6,23.4
6,2023-11-04T14:00,33.8,23.5
6,2023-11-04T15:00,34.0,23.7
6,2023-11-04T16:00,31.8,22.1
6,2023-11-04T17:00,29.3,20.4
6,2023-11-04T18:00,27.2,18.9
6,2023-11-04T19:00,25.8,17.8
6,2023-11-04T20:00,24.9,17.2
6,2023-11-04T21:00,24.6,16.9
6,2023-11-04T22:00,24.7,17.0
6,2023-11-04T23:00,27.4,18.9
7,2023-11-04T00:00,73.1,51.1
7,2023-11-04T01:00,67.3,46.9
7,2023-11-04T02:00,60.3,42.0
7,2023-11-04T03:00,61.9,43.1
7,2023-11-04T04:00,74.5,51.7
7,2023-11-04T05:00,81.5,56.5
7,2023-11-04T06:00,76.6,53.1
7,2023-11-04T07:00,79.4,54.8
7,2023-11-04T08:00,78.0,53.9
7,2023-11-04T09:00,80.3,55.5
7,2023-11-04T10:00,88.9,61.7
7,2023-11-04T11:00,113.9,79.2
7,2023-11-04T12:00,129.9,90.3
7,2023-11-04T13:00,137.8,96.2
7,2023-11-04T14:00,143.0,99.7
7,2023-11-04T15:00,153.2,107.1
7,2023-11-04T16:00,160.2,111.8
7,2023-11-04T17:00,156.5,109.4
7,2023-11-04T18:00,150.4,105.2
7,2023-11-04T19:00,141.1,98.7
7,2023-11-04T20:00,128.5,90.1
7,2023-11-04T21:00,109.7,76.6
7,2023-11-04T22:00,101.7,71.2
7,2023-11-04T23:00,112.0,78.5
8,2023-11-04T00:00,43.7,30.3
8,2023-11-04T01:00,31.5,21.5
8,2023-11-04T02:00,32.2,21.9
8,2023-11-04T03:00,36.9,25.2
8,2023-11-04T04:00,45.1,30.9
8,2023-11-04T05:00,50.6,34.8
8,2023-11-04T06:00,82.0,56.3
8,2023-11-04T07:00,66.6,46.1
8,2023-11-04T08:00,70.1,48.7
8,2023-11-04T09:00,64.3,44.6
8,2023-11-04T10:00,57.6,39.8
8,2023-11-04T11:00,62.9,43.5
8,2023-11-04T12:00,71.9,50.1
8,2023-11-04T13:00,68.9,48.1
8,2023-11-04T14:00,54.5,37.8
8,2023-11-04T15:00,45.5,31.5
8,2023-11-04T16:00,40.2,27.9
8,2023-11-04T17:00,36.2,25.1
8,2023-11-04T18:00,33.6,23.5
8,2023-11-04T19:00,32.6,22.7
8,2023-11-04T20:00,32.4,22.6
8,2023-11-04T21:00,31.8,22.1
8,2023-11-04T22:00,31.9,22.2
8,2023-11-04T23:00,38.4,26.8
9,2023-11-04T00:00,82.2,56.9
9,2023-11-04T01:00,73.8,51.0
9,2023-11-04T02:00,72.9,50.2
9,2023-11-04T03:00,75.9,52.4
9,2023-11-04T04:00,78.7,54.1
9,2023-11-04T05:00,71.2,48.7
9,2023-11-04T06:00,58.4,39.9
9,2023-11-04T07:00,48.8,33.3
9,2023-11-04T08:00,44.9,30.7
9,2023-11-04T09:00,37.7,25.7
9,2023-11-04T10:00,31.9,21.7
9,2023-11-04T11:00,35.3,23.9
9,2023-11-04T12:00,33.4,22.6
9,2023-11-04T13:00,35.4,24.0
9,2023-11-04T14:00,37.5,25.5
9,2023-11-04T15:00,37.7,25.7
9,2023-11-04T16:00,39.5,27.0
9,2023-11-04T17:00,42.7,29.3
9,2023-11-04T18:00,48.7,33.4
9,2023-11-04T19:00,54.4,37.4
9,2023-11-04T20:00,60.1,41.3
9,2023-11-04T21:00,65.4,45.1
9,2023-11-04T22:00,71.9,49.6
9,2023-11-04T23:00,91.3,63.1
10,2023-11-04T00:00,49.8,34.1
10,2023-11-04T01:00,42.3,28.9
10,2023-11-04T02:00,36.2,24.6
10,2023-11-04T03:00,31.5,21.4
10,2023-11-04T04:00,29.8,20.0
10,2023-11-04T05:00,31.2,21.0
10,2023-11-04T06:00,33.5,22.5
10,2023-11-04T07:00,34.9,23.4
10,2023-11-04T08:00,36.9,24.7
10,2023-11-04T09:00,41.7,27.9
10,2023-11-04T10:00,44.6,29.9
10,2023-11-04T11:00,43.8,29.3
10,2023-11-04T12:00,43.0,28.8
10,2023-11-04T13:00,43.7,29.2
10,2023-11-04T14:00,45.4,30.5
10,2023-11-04T15:00,47.5,32.0
10,2023-11-04T16:00,48.0,32.5
10,2023-11-04T17:00,47.1,32.0
10,2023-11-04T18:00,46.7,31.7
10,2023-11-04T19:00,47.6,32.4
10,2023-11-04T20:00,49.8,33.9
10,2023-11-04T21:00,53.0,36.1
10,2023-11-04T22:00,56.7,38.8
10,2023-11-04T23:00,64.5,44.0
11,2023-11-04T00:00,26.1,18.0
11,2023-11-04T01:00,27.6,18.9
11,2023-11-04T02:00,27.2,18.6
11,2023-11-04T03:00,27.1,18.5
11,2023-11-04T04:00,26.8,18.3
11,2023-11-04T05:00,29.0,19.7
11,2023-11-04T06:00,33.6,22.8
11,2023-11-04T07:00,35.2,24.0
11,2023-11-04T08:00,35.6,24.4
11,2023-11-04T09:00,39.9,27.5
11,2023-11-04T10:00,46.3,32.0
11,2023-11-04T11:00,51.6,36.0
11,2023-11-04T12:00,58.4,40.7
11,2023-11-04T13:00,64.5,44.9
11,2023-11-04T14:00,70.5,49.1
11,2023-11-04T15:00,74.7,52.0
11,2023-11-04T16:00,76.4,53.2
11,2023-11-04T17:00,78.0,54.4
11,2023-11-04T18:00,77.3,53.9
11,2023-11-04T19:00,73.3,51.2
11,2023-11-04T20:00,70.3,49.1
11,2023-11-04T21:00,68.0,47.5
11,2023-11-04T22:00,68.7,48.1
11,2023-11-04T23:00,71.9,50.2
12,2023-11-04T00:00,9.8,6.8
12,2023-11-04T01:00,8.8,6.1
12,2023-11-04T02:00,8.5,5.9
12,2023-11-04T03:00,8.9,6.1
12,2023-11-04T04:00,10.2,7.0
12,2023-11-04T05:00,9.5,6.5
12,2023-11-04T06:00,9.2,6.2
12,2023-11-04T07:00,8.7,5.9
12,2023-11-04T08:00,10.2,7.0
12,2023-11-04T09:00,11.2,7.7
12,2023-11-04T10:00,12.8,8.9
12,2023-11-04T11:00,13.6,9.5
12,2023-11-04T12:00,15.0,10.4
12,2023-11-04T13:00,14.1,9.7
12,2023-11-04T14:00,13.7,9.5
12,2023-11-04T15:00,14.8,10.3
12,2023-11-04T16:00,11.6,8.1
12,2023-11-04T17:00,11.1,7.7
12,2023-11-04T18:00,10.3,7.1
12,2023-11-04T19:00,10.4,7.2
12,2023-11-04T20:00,10.6,7.3
12,2023-11-04T21:00,11.1,7.7
12,2023-11-04T22:00,12.7,8.8
12,2023-11-04T23:00,14.9,10.4
