n_id_kabko,d_date,n_temperature_2m,n_relativehumidity_2m,n_visibility,n_uv_index
1,2023-11-03T00:00,25.9,88,24140.0,0.75
1,2023-11-03T01:00,27.3,84,24140.0,2.45
1,2023-11-03T02:00,28.8,78,24140.0,4.3
1,2023-11-03T03:00,30.1,71,24140.0,6.6
1,2023-11-03T04:00,31.4,65,24140.0,7.9
1,2023-11-03T05:00,32.6,59,24140.0,8.7
1,2023-11-03T06:00,34.0,51,24140.0,7.65
1,2023-11-03T07:00,34.0,51,24140.0,4.7
1,2023-11-03T08:00,34.0,51,24140.0,4.4
1,2023-11-03T09:00,33.7,52,24140.0,1.3
1,2023-11-03T10:00,31.4,61,24140.0,0.25
1,2023-11-03T11:00,28.8,77,24140.0,0.05
1,2023-11-03T12:00,28.2,80,24140.0,0.0
1,2023-11-03T13:00,27.4,84,24140.0,0.0
1,2023-11-03T14:00,27.0,85,24140.0,0.0
1,2023-11-03T15:00,26.5,88,24140.0,0.0
1,2023-11-03T16:00,26.2,89,24140.0,0.0
1,2023-11-03T17:00,26.0,91,24140.0,0.0
1,2023-11-03T18:00,25.9,92,24140.0,0.0
1,2023-11-03T19:00,25.7,93,24140.0,0.0
1,2023-11-03T20:00,25.6,93,24140.0,0.0
1,2023-11-03T21:00,25.3,93,24140.0,0.0
1,2023-11-03T22:00,25.1,93,24140.0,0.0
1,2023-11-03T23:00,25.0,93,24140.0,0.05
2,2023-11-03T00:00,26.8,87,24140.0,1.1
2,2023-11-03T01:00,28.9,78,24140.0,3.1
2,2023-11-03T02:00,30.4,69,24140.0,5.35
2,2023-11-03T03:00,31.9,60,24140.0,7.35
2,2023-11-03T04:00,32.7,55,23860.0,8.7
2,2023-11-03T05:00,32.9,55,13000.0,7.1
2,2023-11-03T06:00,29.1,75,4020.0,2.0
2,2023-11-03T07:00,27.9,82,13380.0,0.8
2,2023-11-03T08:00,27.3,84,13420.0,1.05
2,2023-11-03T09:00,27.0,85,13900.0,0.55
2,2023-11-03T10:00,26.2,89,24140.0,0.25
2,2023-11-03T11:00,25.9,91,24140.0,0.05
2,2023-11-03T12:00,25.7,93,24140.0,0.0
2,2023-11-03T13:00,25.5,94,24140.0,0.0
2,2023-11-03T14:00,25.3,94,24140.0,0.0
2,2023-11-03T15:00,25.1,94,24140.0,0.0
2,2023-11-03T16:00,24.9,94,14420.0,0.0
2,2023-11-03T17:00,24.8,94,24140.0,0.0
2,2023-11-03T18:00,24.6,94,24140.0,0.0
2,2023-11-03T19:00,24.5,94,24140.0,0.0
2,2023-11-03T20:00,24.3,95,24140.0,0.0
2,2023-11-03T21:00,24.2,95,24140.0,0.0
2,2023-11-03T22:00,24.2,94,23900.0,0.0
2,2023-11-03T23:00,24.3,94,23640.0,0.05
3,2023-11-03T00:00,27.1,85,24140.0,0.85
3,2023-11-03T01:00,28.7,75,24140.0,2.85
3,2023-11-03T02:00,30.0,68,22820.0,5.15
3,2023-11-03T03:00,31.2,63,24140.0,7.25
3,2023-11-03T04:00,32.3,59,17840.0,8.45
3,2023-11-03T05:00,32.0,60,24140.0,8.95
3,2023-11-03T06:00,31.8,60,24140.0,7.75
3,2023-11-03T07:00,32.4,57,24140.0,6.95
3,2023-11-03T08:00,32.1,58,24140.0,4.95
3,2023-11-03T09:00,31.8,59,15420.0,3.4
3,2023-11-03T10:00,30.6,65,15940.0,1.55
3,2023-11-03T11:00,29.6,70,24140.0,0.25
3,2023-11-03T12:00,29.1,73,24140.0,0.0
3,2023-11-03T13:00,28.5,75,24140.0,0.0
3,2023-11-03T14:00,28.1,77,24140.0,0.0
3,2023-11-03T15:00,27.7,80,24140.0,0.0
3,2023-11-03T16:00,27.3,82,24140.0,0.0
3,2023-11-03T17:00,26.9,85,16360.0,0.0
3,2023-11-03T18:00,26.7,87,24140.0,0.0
3,2023-11-03T19:00,26.4,89,14460.0,0.0
3,2023-11-03T20:00,26.2,89,24140.0,0.0
3,2023-11-03T21:00,26.1,90,24140.0,0.0
3,2023-11-03T22:00,26.1,89,24140.0,0.0
3,2023-11-03T23:00,26.1,90,24140.0,0.05
4,2023-11-03T00:00,26.8,86,24140.0,1.1
4,2023-11-03T01:00,28.7,75,24140.0,3.05
4,2023-11-03T02:00,30.2,68,24140.0,5.4
4,2023-11-03T03:00,31.7,60,24140.0,7.45
4,2023-11-03T04:00,32.8,55,24140.0,8.75
4,2023-11-03T05:00,33.8,51,24140.0,9.4
4,2023-11-03T06:00,34.8,48,24140.0,9.1
4,2023-11-03T07:00,33.6,57,24140.0,7.7
4,2023-11-03T08:00,32.6,60,24140.0,5.25
4,2023-11-03T09:00,31.2,66,22940.0,1.85
4,2023-11-03T10:00,29.7,74,24140.0,1.25
4,2023-11-03T11:00,28.8,75,24140.0,0.2
4,2023-11-03T12:00,27.6,81,6460.0,0.0
4,2023-11-03T13:00,27.2,84,6940.0,0.0
4,2023-11-03T14:00,26.9,85,24140.0,0.0
4,2023-11-03T15:00,26.8,87,24140.0,0.0
4,2023-11-03T16:00,26.7,88,24140.0,0.0
4,2023-11-03T17:00,26.4,86,24140.0,0.0
4,2023-11-03T18:00,26.2,85,24140.0,0.0
4,2023-11-03T19:00,26.0,86,24140.0,0.0
4,2023-11-03T20:00,25.8,87,24140.0,0.0
4,2023-11-03T21:00,25.6,87,24140.0,0.0
4,2023-11-03T22:00,25.5,88,24140.0,0.0
4,2023-11-03T23:00,25.5,88,24140.0,0.1
5,2023-11-03T00:00,28.3,70,24140.0,1.3
5,2023-11-03T01:00,31.4,53,24140.0,3.4
5,2023-11-03T02:00,34.0,44,24140.0,5.7
5,2023-11-03T03:00,35.7,39,24140.0,7.7
5,2023-11-03T04:00,36.6,39,24140.0,9.0
5,2023-11-03T05:00,36.2,42,24140.0,9.45
5,2023-11-03T06:00,37.0,41,24140.0,9.0
5,2023-11-03T07:00,36.4,40,24140.0,7.7
5,2023-11-03T08:00,35.5,43,24140.0,5.7
5,2023-11-03T09:00,34.0,49,24140.0,3.4
5,2023-11-03T10:00,32.0,58,24140.0,1.3
5,2023-11-03T11:00,30.0,68,24140.0,0.15
5,2023-11-03T12:00,29.0,75,24140.0,0.0
5,2023-11-03T13:00,28.2,79,24140.0,0.0
5,2023-11-03T14:00,27.7,84,24140.0,0.0
5,2023-11-03T15:00,27.4,86,24140.0,0.0
5,2023-11-03T16:00,27.3,87,24140.0,0.0
5,2023-11-03T17:00,27.0,88,24140.0,0.0
5,2023-11-03T18:00,26.8,89,24140.0,0.0
5,2023-11-03T19:00,26.5,91,24140.0,0.0
5,2023-11-03T20:00,26.1,93,24140.0,0.0
5,2023-11-03T21:00,25.8,94,24140.0,0.0
5,2023-11-03T22:00,25.7,93,24140.0,0.0
5,2023-11-03T23:00,25.9,91,24140.0,0.1
6,2023-11-03T00:00,28.8,64,24140.0,1.3
6,2023-11-03T01:00,31.5,52,24140.0,3.4
6,2023-11-03T02:00,33.5,45,24140.0,5.7
6,2023-11-03T03:00,35.1,40,24140.0,7.7
6,2023-11-03T04:00,36.0,38,24140.0,9.0
6,2023-11-03T05:00,35.9,39,24140.0,9.5
6,2023-11-03T06:00,36.2,41,24140.0,7.2
6,2023-11-03T07:00,34.3,51,24140.0,5.45
6,2023-11-03T08:00,33.8,53,24140.0,4.05
6,2023-11-03T09:00,33.3,54,17980.0,2.8
6,2023-11-03T10:00,29.8,72,10940.0,0.75
6,2023-11-03T11:00,29.0,77,12380.0,0.05
6,2023-11-03T12:00,28.1,81,24140.0,0.0
6,2023-11-03T13:00,27.5,84,24140.0,0.0
6,2023-11-03T14:00,27.1,87,24140.0,0.0
6,2023-11-03T15:00,26.3,92,24140.0,0.0
6,2023-11-03T16:00,25.8,95,24140.0,0.0
6,2023-11-03T17:00,25.6,96,24140.0,0.0
6,2023-11-03T18:00,25.6,94,24140.0,0.0
6,2023-11-03T19:00,25.7,92,24140.0,0.0
6,2023-11-03T20:00,25.4,92,24140.0,0.0
6,2023-11-03T21:00,25.5,89,24140.0,0.0
6,2023-11-03T22:00,25.5,87,24140.0,0.0
6,2023-11-03T23:00,25.8,85,24140.0,0.1
7,2023-11-03T00:00,27.1,80,24140.0,1.1
7,2023-11-03T01:00,29.0,72,24140.0,3.1
7,2023-11-03T02:00,30.7,66,24140.0,5.45
7,2023-11-03T03:00,32.2,60,24140.0,7.5
7,2023-11-03T04:00,33.3,54,24140.0,8.75
7,2023-11-03T05:00,34.4,50,24140.0,9.3
7,2023-11-03T06:00,35.8,46,24140.0,8.2
7,2023-11-03T07:00,32.5,64,24140.0,3.7
7,2023-11-03T08:00,33.2,62,24140.0,2.9
7,2023-11-03T09:00,31.5,69,24140.0,2.35
7,2023-11-03T10:00,30.4,73,24140.0,1.45
7,2023-11-03T11:00,29.6,76,7020.0,0.2
7,2023-11-03T12:00,28.7,82,24140.0,0.0
7,2023-11-03T13:00,27.7,89,4360.0,0.0
7,2023-11-03T14:00,27.2,89,24140.0,0.0
7,2023-11-03T15:00,26.9,88,24140.0,0.0
7,2023-11-03T16:00,27.0,87,24140.0,0.0
7,2023-11-03T17:00,26.8,87,24140.0,0.0
7,2023-11-03T18:00,26.5,87,24140.0,0.0
7,2023-11-03T19:00,26.2,87,24140.0,0.0
7,2023-11-03T20:00,26.0,88,24140.0,0.0
7,2023-11-03T21:00,25.9,87,24140.0,0.0
7,2023-11-03T22:00,25.9,87,24140.0,0.0
7,2023-11-03T23:00,25.9,88,24140.0,0.1
8,2023-11-03T00:00,26.9,70,24140.0,1.6
8,2023-11-03T01:00,28.4,65,24140.0,3.75
8,2023-11-03T02:00,30.0,57,24140.0,6.05
8,2023-11-03T03:00,31.5,49,23020.0,7.95
8,2023-11-03T04:00,32.5,47,24140.0,9.15
8,2023-11-03T05:00,33.1,44,10700.0,5.0
8,2023-11-03T06:00,32.7,46,23500.0,1.3
8,2023-11-03T07:00,32.6,49,23420.0,1.8
8,2023-11-03T08:00,31.3,56,10680.0,1.0
8,2023-11-03T09:00,28.1,72,23300.0,0.6
8,2023-11-03T10:00,26.6,80,24140.0,0.95
8,2023-11-03T11:00,26.3,82,14520.0,0.1
8,2023-11-03T12:00,26.0,82,23480.0,0.0
8,2023-11-03T13:00,26.0,82,24140.0,0.0
8,2023-11-03T14:00,25.3,88,24140.0,0.0
8,2023-11-03T15:00,24.5,91,22780.0,0.0
8,2023-11-03T16:00,24.1,94,24140.0,0.0
8,2023-11-03T17:00,23.8,96,24140.0,0.0
8,2023-11-03T18:00,23.6,97,24140.0,0.0
8,2023-11-03T19:00,23.4,96,24140.0,0.0
8,2023-11-03T20:00,23.4,95,24140.0,0.0
8,2023-11-03T21:00,23.2,95,24140.0,0.0
8,2023-11-03T22:00,23.3,94,24140.0,0.0
8,2023-11-03T23:00,23.6,93,24140.0,0.2
9,2023-11-03T00:00,29.7,71,24140.0,1.85
9,2023-11-03T01:00,30.6,66,24140.0,4.05
9,2023-11-03T02:00,31.5,62,24140.0,6.3
9,2023-11-03T03:00,32.4,59,24140.0,8.15
9,2023-11-03T04:00,33.4,54,24140.0,8.4
9,2023-11-03T05:00,34.0,52,24140.0,8.55
9,2023-11-03T06:00,34.3,50,24140.0,8.4
9,2023-11-03T07:00,34.7,47,24140.0,6.5
9,2023-11-03T08:00,33.1,54,24140.0,4.05
9,2023-11-03T09:00,31.1,66,24140.0,2.75
9,2023-11-03T10:00,30.0,73,24140.0,0.85
9,2023-11-03T11:00,29.2,79,23360.0,0.05
9,2023-11-03T12:00,29.4,76,21780.0,0.0
9,2023-11-03T13:00,28.8,80,24140.0,0.0
9,2023-11-03T14:00,28.6,81,24140.0,0.0
9,2023-11-03T15:00,28.3,82,24140.0,0.0
9,2023-11-03T16:00,27.9,84,24140.0,0.0
9,2023-11-03T17:00,27.4,86,24140.0,0.0
9,2023-11-03T18:00,26.9,87,24140.0,0.0
9,2023-11-03T19:00,26.8,87,24140.0,0.0
9,2023-11-03T20:00,26.9,86,24140.0,0.0
9,2023-11-03T21:00,26.9,85,24140.0,0.0
9,2023-11-03T22:00,26.9,86,24140.0,0.0
9,2023-11-03T23:00,27.1,85,24140.0,0.35
10,2023-11-03T00:00,26.3,82,24140.0,2.7
10,2023-11-03T01:00,28.1,70,24140.0,5.0
10,2023-11-03T02:00,29.7,61,24140.0,7.25
10,2023-11-03T03:00,30.6,58,24140.0,8.8
10,2023-11-03T04:00,30.6,61,24140.0,9.0
10,2023-11-03T05:00,29.7,67,24140.0,7.9
10,2023-11-03T06:00,28.3,79,24140.0,1.65
10,2023-11-03T07:00,27.9,79,24140.0,1.6
10,2023-11-03T08:00,27.5,77,24140.0,4.25
10,2023-11-03T09:00,26.4,82,24140.0,2.0
10,2023-11-03T10:00,25.5,84,24140.0,0.4
10,2023-11-03T11:00,25.0,87,24140.0,0.0
10,2023-11-03T12:00,25.2,90,23300.0,0.0
10,2023-11-03T13:00,25.1,89,24140.0,0.0
10,2023-11-03T14:00,24.8,88,24140.0,0.0
10,2023-11-03T15:00,24.2,90,24140.0,0.0
10,2023-11-03T16:00,23.7,93,24140.0,0.0
10,2023-11-03T17:00,23.2,95,24140.0,0.0
10,2023-11-03T18:00,23.0,95,24140.0,0.0
10,2023-11-03T19:00,23.0,94,24140.0,0.0
10,2023-11-03T20:00,23.0,94,24140.0,0.0
10,2023-11-03T21:00,22.8,95,24140.0,0.0
10,2023-11-03T22:00,22.9,95,24140.0,0.05
10,2023-11-03T23:00,24.7,87,24140.0,0.85
11,2023-11-03T00:00,27.8,84,24140.0,2.0
11,2023-11-03T01:00,29.6,75,24140.0,4.2
11,2023-11-03T02:00,31.1,68,24140.0,6.4
11,2023-11-03T03:00,32.3,64,24140.0,8.15
11,2023-11-03T04:00,33.1,61,17840.0,6.0
11,2023-11-03T05:00,33.2,59,24140.0,2.0
11,2023-11-03T06:00,30.9,71,22640.0,2.75
11,2023-11-03T07:00,29.2,77,24140.0,4.05
11,2023-11-03T08:00,29.1,79,24140.0,4.45
11,2023-11-03T09:00,28.3,82,24140.0,2.15
11,2023-11-03T10:00,27.6,85,14520.0,0.5
11,2023-11-03T11:00,26.9,89,22520.0,0.0
11,2023-11-03T12:00,26.4,90,20480.0,0.0
11,2023-11-03T13:00,26.2,91,24140.0,0.0
11,2023-11-03T14:00,26.0,91,24140.0,0.0
11,2023-11-03T15:00,25.7,93,24140.0,0.0
11,2023-11-03T16:00,25.4,94,24140.0,0.0
11,2023-11-03T17:00,25.0,94,24140.0,0.0
11,2023-11-03T18:00,24.7,95,24140.0,0.0
11,2023-11-03T19:00,24.5,95,24140.0,0.0
11,2023-11-03T20:00,24.4,95,24140.0,0.0
11,2023-11-03T21:00,24.4,96,24140.0,0.0
11,2023-11-03T22:00,24.3,96,24140.0,0.0
11,2023-11-03T23:00,24.9,94,24140.0,0.4
12,2023-11-03T00:00,30.0,63,24140.0,2.35
12,2023-11-03T01:00,32.3,53,24140.0,4.4
12,2023-11-03T02:00,33.7,47,24140.0,6.35
12,2023-11-03T03:00,35.0,44,24140.0,7.75
12,2023-11-03T04:00,33.7,49,24140.0,8.75
12,2023-11-03T05:00,32.8,57,24140.0,8.85
12,2023-11-03T06:00,32.3,62,24140.0,7.85
12,2023-11-03T07:00,31.8,63,24140.0,5.9
12,2023-11-03T08:00,31.0,67,24140.0,3.65
12,2023-11-03T09:00,29.7,72,24140.0,1.55
12,2023-11-03T10:00,28.7,77,24140.0,0.2
12,2023-11-03T11:00,27.5,83,8140.0,0.0
12,2023-11-03T12:00,26.9,86,24140.0,0.0
12,2023-11-03T13:00,26.1,90,7060.0,0.0
12,2023-11-03T14:00,26.1,89,6160.0,0.0
12,2023-11-03T15:00,26.2,88,3680.0,0.0
12,2023-11-03T16:00,25.6,90,21800.0,0.0
12,2023-11-03T17:00,25.3,91,9020.0,0.0
12,2023-11-03T18:00,24.5,95,5440.0,0.0
12,2023-11-03T19:00,24.0,97,23880.0,0.0
12,2023-11-03T20:00,23.8,97,23880.0,0.0
12,2023-11-03T21:00,23.6,97,24140.0,0.0
12,2023-11-03T22:00,23.4,97,24140.0,0.0
12,2023-11-03T23:00,25.1,90,24140.0,0.2
